purchase_date,vendor,sku,quantity,unit_cost,invoice_number,product_name
2026-05-13,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-130-2,Mesa Sol Classic Tequila
2026-06-12,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-100-2,Mesa Sol Classic Tequila
2026-07-12,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-70-2,Mesa Sol Classic Tequila
2026-08-11,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-40-2,Mesa Sol Classic Tequila
2026-09-10,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-10-2,Mesa Sol Classic Tequila
2026-03-14,Northstar Beverage,BTL-0011,120,14.23,INV-190-2,North Current Classic Vodka
2026-04-13,Northstar Beverage,BTL-0011,120,14.23,INV-160-2,North Current Classic Vodka
2026-05-13,Northstar Beverage,BTL-0011,120,14.23,INV-130-2,North Current Classic Vodka
2026-06-12,Northstar Beverage,BTL-0011,120,14.23,INV-100-2,North Current Classic Vodka
2026-07-12,Northstar Beverage,BTL-0011,120,14.23,INV-70-2,North Current Classic Vodka
2026-08-11,Northstar Beverage,BTL-0011,120,14.23,INV-40-2,North Current Classic Vodka
2026-09-10,Northstar Beverage,BTL-0011,120,14.23,INV-10-2,North Current Classic Vodka
2026-03-14,Valley Craft Collective,BTL-0012,120,21.36,INV-190-2,Juniper & Field Classic Gin
2026-04-13,Valley Craft Collective,BTL-0012,120,21.36,INV-160-2,Juniper & Field Classic Gin
2026-05-13,Valley Craft Collective,BTL-0012,120,21.36,INV-130-2,Juniper & Field Classic Gin
2026-06-12,Valley Craft Collective,BTL-0012,120,21.36,INV-100-2,Juniper & Field Classic Gin
2026-07-12,Valley Craft Collective,BTL-0012,120,21.36,INV-70-2,Juniper & Field Classic Gin
2026-08-11,Valley Craft Collective,BTL-0012,120,21.36,INV-40-2,Juniper & Field Classic Gin
2026-09-10,Valley Craft Collective,BTL-0012,120,21.36,INV-10-2,Juniper & Field Classic Gin
2026-03-14,Pacific Coast Distributing,BTL-0013,120,28.57,INV-190-3,Harbor Lantern Classic Rum
2026-04-13,Pacific Coast Distributing,BTL-0013,120,28.57,INV-160-3,Harbor Lantern Classic Rum
2026-05-13,Pacific Coast Distributing,BTL-0013,120,28.57,INV-130-3,Harbor Lantern Classic Rum
2026-06-12,Pacific Coast Distributing,BTL-0013,120,28.57,INV-100-3,Harbor Lantern Classic Rum
2026-07-12,Pacific Coast Distributing,BTL-0013,120,28.57,INV-70-3,Harbor Lantern Classic Rum
2026-08-11,Pacific Coast Distributing,BTL-0013,120,28.57,INV-40-3,Harbor Lantern Classic Rum
2026-09-10,Pacific Coast Distributing,BTL-0013,120,28.57,INV-10-3,Harbor Lantern Classic Rum
2026-03-14,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-190-3,Valley Loom Classic Wine
2026-04-13,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-160-3,Valley Loom Classic Wine
2026-05-13,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-130-3,Valley Loom Classic Wine
2026-06-12,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-100-3,Valley Loom Classic Wine
2026-07-12,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-70-3,Valley Loom Classic Wine
2026-08-11,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-40-3,Valley Loom Classic Wine
2026-09-10,Heritage Wine & Spirits,BTL-0014,60,35.77,INV-10-3,Valley Loom Classic Wine
2026-03-14,Northstar Beverage,BTL-0015,120,10.79,INV-190-3,Trailhead Classic Beer
2026-04-13,Northstar Beverage,BTL-0015,120,10.79,INV-160-3,Trailhead Classic Beer
2026-05-13,Northstar Beverage,BTL-0015,120,10.79,INV-130-3,Trailhead Classic Beer
2026-06-12,Northstar Beverage,BTL-0015,120,10.79,INV-100-3,Trailhead Classic Beer
2026-07-12,Northstar Beverage,BTL-0015,120,10.79,INV-70-3,Trailhead Classic Beer
2026-08-11,Northstar Beverage,BTL-0015,120,10.79,INV-40-3,Trailhead Classic Beer
2026-09-10,Northstar Beverage,BTL-0015,120,10.79,INV-10-3,Trailhead Classic Beer
2026-03-14,Valley Craft Collective,BTL-0016,120,17.31,INV-190-3,Orchard Vale Classic Liqueur
2026-04-13,Valley Craft Collective,BTL-0016,120,17.31,INV-160-3,Orchard Vale Classic Liqueur
2026-05-13,Valley Craft Collective,BTL-0016,120,17.31,INV-130-3,Orchard Vale Classic Liqueur
2026-06-12,Valley Craft Collective,BTL-0016,120,17.31,INV-100-3,Orchard Vale Classic Liqueur
2026-07-12,Valley Craft Collective,BTL-0016,120,17.31,INV-70-3,Orchard Vale Classic Liqueur
2026-08-11,Valley Craft Collective,BTL-0016,120,17.31,INV-40-3,Orchard Vale Classic Liqueur
2026-09-10,Valley Craft Collective,BTL-0016,120,17.31,INV-10-3,Orchard Vale Classic Liqueur
2026-03-14,Pacific Coast Distributing,BTL-0017,60,24.38,INV-190-4,Cedar Ridge Small Batch Whiskey
2026-04-13,Pacific Coast Distributing,BTL-0017,60,24.38,INV-160-4,Cedar Ridge Small Batch Whiskey
2026-05-13,Pacific Coast Distributing,BTL-0017,60,24.38,INV-130-4,Cedar Ridge Small Batch Whiskey
2026-06-12,Pacific Coast Distributing,BTL-0017,60,24.38,INV-100-4,Cedar Ridge Small Batch Whiskey
2026-07-12,Pacific Coast Distributing,BTL-0017,60,24.38,INV-70-4,Cedar Ridge Small Batch Whiskey
2026-08-11,Pacific Coast Distributing,BTL-0017,60,24.38,INV-40-4,Cedar Ridge Small Batch Whiskey
2026-09-10,Pacific Coast Distributing,BTL-0017,60,24.38,INV-10-4,Cedar Ridge Small Batch Whiskey
2026-03-14,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-190-4,Mesa Sol Small Batch Tequila
2026-04-13,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-160-4,Mesa Sol Small Batch Tequila
2026-05-13,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-130-4,Mesa Sol Small Batch Tequila
2026-06-12,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-100-4,Mesa Sol Small Batch Tequila
2026-07-12,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-70-4,Mesa Sol Small Batch Tequila
2026-08-11,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-40-4,Mesa Sol Small Batch Tequila
2026-09-10,Heritage Wine & Spirits,BTL-0018,60,31.27,INV-10-4,Mesa Sol Small Batch Tequila
2026-03-14,Northstar Beverage,BTL-0019,120,38.55,INV-190-4,North Current Small Batch Vodka
2026-04-13,Northstar Beverage,BTL-0019,120,38.55,INV-160-4,North Current Small Batch Vodka
2026-05-13,Northstar Beverage,BTL-0019,120,38.55,INV-130-4,North Current Small Batch Vodka
2026-06-12,Northstar Beverage,BTL-0019,120,38.55,INV-100-4,North Current Small Batch Vodka
2026-07-12,Northstar Beverage,BTL-0019,120,38.55,INV-70-4,North Current Small Batch Vodka
2026-08-11,Northstar Beverage,BTL-0019,120,38.55,INV-40-4,North Current Small Batch Vodka
2026-09-10,Northstar Beverage,BTL-0019,120,38.55,INV-10-4,North Current Small Batch Vodka
2026-03-14,Valley Craft Collective,BTL-0020,120,13.37,INV-190-4,Juniper & Field Small Batch Gin
2026-04-13,Valley Craft Collective,BTL-0020,120,13.37,INV-160-4,Juniper & Field Small Batch Gin
2026-05-13,Valley Craft Collective,BTL-0020,120,13.37,INV-130-4,Juniper & Field Small Batch Gin
2026-06-12,Valley Craft Collective,BTL-0020,120,13.37,INV-100-4,Juniper & Field Small Batch Gin
2026-07-12,Valley Craft Collective,BTL-0020,120,13.37,INV-70-4,Juniper & Field Small Batch Gin
2026-08-11,Valley Craft Collective,BTL-0020,120,13.37,INV-40-4,Juniper & Field Small Batch Gin
2026-09-10,Valley Craft Collective,BTL-0020,120,13.37,INV-10-4,Juniper & Field Small Batch Gin
2026-03-14,Pacific Coast Distributing,BTL-0021,120,14.00,INV-190-5,Harbor Lantern Small Batch Rum
2026-04-13,Pacific Coast Distributing,BTL-0021,120,14.00,INV-160-5,Harbor Lantern Small Batch Rum
2026-05-13,Pacific Coast Distributing,BTL-0021,120,14.00,INV-130-5,Harbor Lantern Small Batch Rum
2026-06-12,Pacific Coast Distributing,BTL-0021,120,14.00,INV-100-5,Harbor Lantern Small Batch Rum
2026-07-12,Pacific Coast Distributing,BTL-0021,120,14.00,INV-70-5,Harbor Lantern Small Batch Rum
2026-08-11,Pacific Coast Distributing,BTL-0021,120,14.00,INV-40-5,Harbor Lantern Small Batch Rum
2026-09-10,Pacific Coast Distributing,BTL-0021,120,14.00,INV-10-5,Harbor Lantern Small Batch Rum
2026-03-14,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-190-5,Valley Loom Small Batch Wine
2026-04-13,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-160-5,Valley Loom Small Batch Wine
2026-05-13,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-130-5,Valley Loom Small Batch Wine
2026-06-12,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-100-5,Valley Loom Small Batch Wine
2026-07-12,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-70-5,Valley Loom Small Batch Wine
2026-08-11,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-40-5,Valley Loom Small Batch Wine
2026-09-10,Heritage Wine & Spirits,BTL-0022,60,27.68,INV-10-5,Valley Loom Small Batch Wine
2026-03-14,Northstar Beverage,BTL-0023,120,34.01,INV-190-5,Trailhead Small Batch Beer
2026-04-13,Northstar Beverage,BTL-0023,120,34.01,INV-160-5,Trailhead Small Batch Beer
2026-05-13,Northstar Beverage,BTL-0023,120,34.01,INV-130-5,Trailhead Small Batch Beer
2026-06-12,Northstar Beverage,BTL-0023,120,34.01,INV-100-5,Trailhead Small Batch Beer
2026-07-12,Northstar Beverage,BTL-0023,120,34.01,INV-70-5,Trailhead Small Batch Beer
2026-08-11,Northstar Beverage,BTL-0023,120,34.01,INV-40-5,Trailhead Small Batch Beer
2026-09-10,Northstar Beverage,BTL-0023,120,34.01,INV-10-5,Trailhead Small Batch Beer
2026-03-14,Valley Craft Collective,BTL-0024,120,9.04,INV-190-5,Orchard Vale Small Batch Liqueur
2026-04-13,Valley Craft Collective,BTL-0024,120,9.04,INV-160-5,Orchard Vale Small Batch Liqueur
2026-05-13,Valley Craft Collective,BTL-0024,120,9.04,INV-130-5,Orchard Vale Small Batch Liqueur
2026-06-12,Valley Craft Collective,BTL-0024,120,9.04,INV-100-5,Orchard Vale Small Batch Liqueur
2026-07-12,Valley Craft Collective,BTL-0024,120,9.04,INV-70-5,Orchard Vale Small Batch Liqueur
2026-08-11,Valley Craft Collective,BTL-0024,120,9.04,INV-40-5,Orchard Vale Small Batch Liqueur
2026-09-10,Valley Craft Collective,BTL-0024,120,9.04,INV-10-5,Orchard Vale Small Batch Liqueur
2026-03-14,Pacific Coast Distributing,BTL-0025,60,16.57,INV-190-6,Cedar Ridge Estate Whiskey
2026-04-13,Pacific Coast Distributing,BTL-0025,60,16.57,INV-160-6,Cedar Ridge Estate Whiskey
2026-05-13,Pacific Coast Distributing,BTL-0025,60,16.57,INV-130-6,Cedar Ridge Estate Whiskey
2026-06-12,Pacific Coast Distributing,BTL-0025,60,16.57,INV-100-6,Cedar Ridge Estate Whiskey
2026-07-12,Pacific Coast Distributing,BTL-0025,60,16.57,INV-70-6,Cedar Ridge Estate Whiskey
2026-08-11,Pacific Coast Distributing,BTL-0025,60,16.57,INV-40-6,Cedar Ridge Estate Whiskey
2026-09-10,Pacific Coast Distributing,BTL-0025,60,16.57,INV-10-6,Cedar Ridge Estate Whiskey
2026-03-14,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-190-6,Mesa Sol Estate Tequila
2026-04-13,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-160-6,Mesa Sol Estate Tequila
2026-05-13,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-130-6,Mesa Sol Estate Tequila
2026-06-12,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-100-6,Mesa Sol Estate Tequila
2026-07-12,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-70-6,Mesa Sol Estate Tequila
2026-08-11,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-40-6,Mesa Sol Estate Tequila
2026-09-10,Heritage Wine & Spirits,BTL-0026,60,23.07,INV-10-6,Mesa Sol Estate Tequila
2026-03-14,Northstar Beverage,BTL-0027,120,30.93,INV-190-6,North Current Estate Vodka
2026-04-13,Northstar Beverage,BTL-0027,120,30.93,INV-160-6,North Current Estate Vodka
2026-05-13,Northstar Beverage,BTL-0027,120,30.93,INV-130-6,North Current Estate Vodka
2026-06-12,Northstar Beverage,BTL-0027,120,30.93,INV-100-6,North Current Estate Vodka
2026-07-12,Northstar Beverage,BTL-0027,120,30.93,INV-70-6,North Current Estate Vodka
2026-08-11,Northstar Beverage,BTL-0027,120,30.93,INV-40-6,North Current Estate Vodka
2026-09-10,Northstar Beverage,BTL-0027,120,30.93,INV-10-6,North Current Estate Vodka
2026-03-14,Valley Craft Collective,BTL-0028,120,37.97,INV-190-6,Juniper & Field Estate Gin
2026-04-13,Valley Craft Collective,BTL-0028,120,37.97,INV-160-6,Juniper & Field Estate Gin
2026-05-13,Valley Craft Collective,BTL-0028,120,37.97,INV-130-6,Juniper & Field Estate Gin
2026-06-12,Valley Craft Collective,BTL-0028,120,37.97,INV-100-6,Juniper & Field Estate Gin
2026-07-12,Valley Craft Collective,BTL-0028,120,37.97,INV-70-6,Juniper & Field Estate Gin
2026-08-11,Valley Craft Collective,BTL-0028,120,37.97,INV-40-6,Juniper & Field Estate Gin
2026-09-10,Valley Craft Collective,BTL-0028,120,37.97,INV-10-6,Juniper & Field Estate Gin
2026-03-14,Pacific Coast Distributing,BTL-0029,120,12.28,INV-190-7,Harbor Lantern Estate Rum
2026-04-13,Pacific Coast Distributing,BTL-0029,120,12.28,INV-160-7,Harbor Lantern Estate Rum
2026-05-13,Pacific Coast Distributing,BTL-0029,120,12.28,INV-130-7,Harbor Lantern Estate Rum
2026-06-12,Pacific Coast Distributing,BTL-0029,120,12.28,INV-100-7,Harbor Lantern Estate Rum
2026-07-12,Pacific Coast Distributing,BTL-0029,120,12.28,INV-70-7,Harbor Lantern Estate Rum
2026-08-11,Pacific Coast Distributing,BTL-0029,120,12.28,INV-40-7,Harbor Lantern Estate Rum
2026-09-10,Pacific Coast Distributing,BTL-0029,120,12.28,INV-10-7,Harbor Lantern Estate Rum
2026-03-14,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-190-7,Valley Loom Estate Wine
2026-04-13,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-160-7,Valley Loom Estate Wine
2026-05-13,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-130-7,Valley Loom Estate Wine
2026-06-12,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-100-7,Valley Loom Estate Wine
2026-07-12,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-70-7,Valley Loom Estate Wine
2026-08-11,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-40-7,Valley Loom Estate Wine
2026-09-10,Heritage Wine & Spirits,BTL-0030,60,19.76,INV-10-7,Valley Loom Estate Wine
2026-03-14,Northstar Beverage,BTL-0031,120,26.41,INV-190-7,Trailhead Estate Beer
2026-04-13,Northstar Beverage,BTL-0031,120,26.41,INV-160-7,Trailhead Estate Beer
2026-05-13,Northstar Beverage,BTL-0031,120,26.41,INV-130-7,Trailhead Estate Beer
2026-06-12,Northstar Beverage,BTL-0031,120,26.41,INV-100-7,Trailhead Estate Beer
2026-07-12,Northstar Beverage,BTL-0031,120,26.41,INV-70-7,Trailhead Estate Beer
2026-08-11,Northstar Beverage,BTL-0031,120,26.41,INV-40-7,Trailhead Estate Beer
2026-09-10,Northstar Beverage,BTL-0031,120,26.41,INV-10-7,Trailhead Estate Beer
2026-03-14,Valley Craft Collective,BTL-0032,120,33.23,INV-190-7,Orchard Vale Estate Liqueur
2026-04-13,Valley Craft Collective,BTL-0032,120,33.23,INV-160-7,Orchard Vale Estate Liqueur
2026-05-13,Valley Craft Collective,BTL-0032,120,33.23,INV-130-7,Orchard Vale Estate Liqueur
2026-06-12,Valley Craft Collective,BTL-0032,120,33.23,INV-100-7,Orchard Vale Estate Liqueur
2026-07-12,Valley Craft Collective,BTL-0032,120,33.23,INV-70-7,Orchard Vale Estate Liqueur
2026-08-11,Valley Craft Collective,BTL-0032,120,33.23,INV-40-7,Orchard Vale Estate Liqueur
2026-09-10,Valley Craft Collective,BTL-0032,120,33.23,INV-10-7,Orchard Vale Estate Liqueur
2026-03-14,Pacific Coast Distributing,BTL-0033,60,8.01,INV-190-8,Cedar Ridge Golden Whiskey
2026-04-13,Pacific Coast Distributing,BTL-0033,60,8.01,INV-160-8,Cedar Ridge Golden Whiskey
2026-05-13,Pacific Coast Distributing,BTL-0033,60,8.01,INV-130-8,Cedar Ridge Golden Whiskey
2026-06-12,Pacific Coast Distributing,BTL-0033,60,8.01,INV-100-8,Cedar Ridge Golden Whiskey
2026-07-12,Pacific Coast Distributing,BTL-0033,60,8.01,INV-70-8,Cedar Ridge Golden Whiskey
2026-08-11,Pacific Coast Distributing,BTL-0033,60,8.01,INV-40-8,Cedar Ridge Golden Whiskey
2026-09-10,Pacific Coast Distributing,BTL-0033,60,8.01,INV-10-8,Cedar Ridge Golden Whiskey
2026-03-14,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-190-8,Mesa Sol Golden Tequila
2026-04-13,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-160-8,Mesa Sol Golden Tequila
2026-05-13,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-130-8,Mesa Sol Golden Tequila
2026-06-12,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-100-8,Mesa Sol Golden Tequila
2026-07-12,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-70-8,Mesa Sol Golden Tequila
2026-08-11,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-40-8,Mesa Sol Golden Tequila
2026-09-10,Heritage Wine & Spirits,BTL-0034,60,15.52,INV-10-8,Mesa Sol Golden Tequila
2026-03-14,Northstar Beverage,BTL-0035,120,22.00,INV-190-8,North Current Golden Vodka
2026-04-13,Northstar Beverage,BTL-0035,120,22.00,INV-160-8,North Current Golden Vodka
2026-05-13,Northstar Beverage,BTL-0035,120,22.00,INV-130-8,North Current Golden Vodka
2026-06-12,Northstar Beverage,BTL-0035,120,22.00,INV-100-8,North Current Golden Vodka
2026-07-12,Northstar Beverage,BTL-0035,120,22.00,INV-70-8,North Current Golden Vodka
2026-08-11,Northstar Beverage,BTL-0035,120,22.00,INV-40-8,North Current Golden Vodka
2026-09-10,Northstar Beverage,BTL-0035,120,22.00,INV-10-8,North Current Golden Vodka
2026-03-14,Valley Craft Collective,BTL-0036,120,29.89,INV-190-8,Juniper & Field Golden Gin
2026-04-13,Valley Craft Collective,BTL-0036,120,29.89,INV-160-8,Juniper & Field Golden Gin
2026-05-13,Valley Craft Collective,BTL-0036,120,29.89,INV-130-8,Juniper & Field Golden Gin
2026-06-12,Valley Craft Collective,BTL-0036,120,29.89,INV-100-8,Juniper & Field Golden Gin
2026-07-12,Valley Craft Collective,BTL-0036,120,29.89,INV-70-8,Juniper & Field Golden Gin
2026-08-11,Valley Craft Collective,BTL-0036,120,29.89,INV-40-8,Juniper & Field Golden Gin
2026-09-10,Valley Craft Collective,BTL-0036,120,29.89,INV-10-8,Juniper & Field Golden Gin
2026-03-14,Pacific Coast Distributing,BTL-0037,120,36.40,INV-190-9,Harbor Lantern Golden Rum
2026-04-13,Pacific Coast Distributing,BTL-0037,120,36.40,INV-160-9,Harbor Lantern Golden Rum
2026-05-13,Pacific Coast Distributing,BTL-0037,120,36.40,INV-130-9,Harbor Lantern Golden Rum
2026-06-12,Pacific Coast Distributing,BTL-0037,120,36.40,INV-100-9,Harbor Lantern Golden Rum
2026-07-12,Pacific Coast Distributing,BTL-0037,120,36.40,INV-70-9,Harbor Lantern Golden Rum
2026-08-11,Pacific Coast Distributing,BTL-0037,120,36.40,INV-40-9,Harbor Lantern Golden Rum
2026-09-10,Pacific Coast Distributing,BTL-0037,120,36.40,INV-10-9,Harbor Lantern Golden Rum
2026-03-14,Heritage Wine & Spirits,BTL-0038,60,11.32,INV-190-9,Valley Loom Golden Wine
2026-04-13,Heritage Wine & Spirits,BTL-0038,60,11.32,INV-160-9,Valley Loom Golden Wine
2026-05-13,Heritage Wine & Spirits,BTL-0038,60,11.32,INV-130-9,Valley Loom Golden Wine
2026-06-12,Heritage Wine & Spirits,BTL-0038,60,11.32,INV-100-9,Valley Loom Golden Wine
